experiment,name,fingerprint,architecture_hash,parameter_count,trainable_parameter_count,loss_name,optimizer,learning_rate,seed,epochs,checkpoint_sha256,prediction_sha256,status
Exp_A,Original M3 Baseline,af67645e0b80,M3UTRNet_64_32,5473,5473,BCELoss,Adam,0.001,42,15,44503afcde5e0588845445b499512e7f478210c12c84b3b6d0856c8a6f04c917,3b0ad505cffc4e922413e5c2e17392b5bf61d55bffcbb7d255ac552eb337b2c7,VERIFIED_REAL_MODEL
Exp_B,M3 + Temporal Ranking Loss,e6406af836b6,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.003,43,15,b9b13bde1d0a36b50890fd11c3526a19e7c07f0ce43af098bd6c2559b97d147b,7ff52bd87719d54b15d83196b8ea5a736f0f48dbb8a562587d8f9a9b48b7699b,VERIFIED_REAL_MODEL
Exp_C,M3 + Early-Detection Weighting,a3ad6f7bc15e,M3UTRNet_64_32,5473,5473,BCELoss,Adam,0.003,44,15,cb304d820d61b714026022f36452399b221747d12783b1d99a6718d6be20baf6,d326b93b2a8720ccc97482d14d1aa53a45b7cc3a03ab8f13d675de1f79f524fd,VERIFIED_REAL_MODEL
Exp_D,M3 + Hard-Negative Trajectory Contrast,9c7d6a775dea,M3UTRNet_64_32,5473,5473,BCELoss,Adam,0.002,45,15,5fefe561330c02944a51d227f991fe4ee75bfd57e8faca632431400082340a0b,83f14be2dc90c0a45ed76c9f8e5fef57585cceb7b2f79c364abeb24e901654aa,VERIFIED_REAL_MODEL
Exp_E,M3 + Temporal Utility Surrogate Loss,df15a6c412af,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.003,46,15,95096b76ccb54b5ad7364b7976387b8958386ac7d53d2cf79752293e5952b238,49e380656359ced5736b663c892b0a1ee7501321ba1f19ae60fe3d83e9cf7228,VERIFIED_REAL_MODEL
Exp_F,M3 + Ranking + Early Detection,7942b36880c4,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.003,47,15,5d57f76f447382eaf4ba6000c213d5523c24c6c0e556d94f9256ba66b37c212c,01fcf63e92768002fbed5cfeee87b90c48fe52dd072620163dec25e45b19423a,VERIFIED_REAL_MODEL
Exp_G,M3 + Ranking + Hard Negatives,39c44c03de68,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.0025,48,15,2e2ff7954ac5042ce45f94776945d88e925a094859d53b33959eb37469108c88,4bdc0f288a0f76c6edcd56c9a0eef1abff420afceb57414881b4aef88cea8ff9,VERIFIED_REAL_MODEL
Exp_H,M3 + Utility Surrogate + Hard Negatives,d704f90388c3,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.0025,49,15,74fd581615b4269531d79259b55592268c6877f4f37a60eac268976720768ab0,4e2b690e7862fe030f577effbe6e683fa7a8b62a3362dfe9bde12b6d32592cb6,VERIFIED_REAL_MODEL
Exp_I,FULL M3-UTR Framework,74fa6bacfc68,M3UTRNet_64_32,5473,5473,MultiObjective_UTR,Adam,0.003,50,15,5cf80faefc814ad8a664640c3e49d25c97beabad748fe97cc22ad3ef2f8f5261,61e4dd56a4e769fe01bea6dd24f6634a98d3f02324510fcc3ae49d2a7da0eb2b,VERIFIED_REAL_MODEL
