threshold,val_utility,test_utility,val_f1,val_fpr_h,val_detection
0.02,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.04,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.06,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.08,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.1,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.12000000000000001,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.13999999999999999,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.16,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.18,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.19999999999999998,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.22,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.24,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.26,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.28,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.30000000000000004,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.32,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.34,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.36000000000000004,-0.7552268244575687,-1.2688451115277284,0.021017927055429635,0.041364202011822046,1.0
0.38,0.02590401051939596,-0.42134146341474193,0.026451612903225806,0.018770092294928965,0.9881656804733728
0.4,0.09421433267587061,-0.25791640608717603,0.028469750889679714,0.01143316395312662,0.9289940828402367
0.42000000000000004,0.1579552925706763,-0.2580466958515997,0.033913043478260865,0.008425801099242973,0.9230769230769231
0.44,0.15055884286653445,-0.26162184698772556,0.03327495621716287,0.00823135953541429,0.9171597633136095
0.46,0.15055884286653445,-0.26162184698772556,0.03327495621716287,0.00823135953541429,0.9171597633136095
0.48000000000000004,0.15055884286653445,-0.26162184698772556,0.03327495621716287,0.00823135953541429,0.9171597633136095
0.5,0.11992110453648878,-0.2721336251824303,0.04440497335701598,0.00766099761485015,0.9112426035502958
0.52,0.08500986193293886,-0.296106941838673,0.060387561964849026,0.0070128590687545365,0.9053254437869822
0.54,0.012853385930308799,-0.35907337919535415,0.08040665434380775,0.006040651249611117,0.8994082840236687
0.56,-0.06837606837606956,-0.4058995205336876,0.09287054409005628,0.005470289329046977,0.893491124260355
0.5800000000000001,-0.16886916502301244,-0.42468730456537246,0.10280818657782008,0.004951778492170486,0.8698224852071006
0.6,-0.260946745562129,-0.477725661872022,0.11186770428015565,0.004277714404231048,0.8461538461538461
0.62,-0.4087442472057837,-0.7652803835730466,0.11396303901437373,0.0029295862283521728,0.7751479289940828
0.64,-0.7085141354372104,-0.9326610381488216,0.10668103448275862,0.001892564554599191,0.6390532544378699
0.66,-0.8710059171597627,-1.0215290806754056,0.09836065573770492,0.000920356735455771,0.5562130177514792
0.68,-1.270940170940171,-1.1655930790076976,0.07100591715976332,0.0002462926475163331,0.3609467455621302
0.7000000000000001,-1.3907626561472715,-1.2305451323743881,0.06006006006006006,5.185108368764907e-05,0.30177514792899407
0.7200000000000001,-1.6439513477975016,-1.307999791536366,0.036540803897685756,1.2962770921912268e-05,0.17751479289940827
0.74,-1.7988165680473374,-1.3956639566395561,0.020884520884520884,0.0,0.10059171597633136
0.76,-1.8461538461538463,-1.4382530748384332,0.01600985221674877,0.0,0.07692307692307693
0.78,-1.952662721893491,-1.5031165311653047,0.004953560371517028,0.0,0.023668639053254437
0.8,-1.9881656804733727,-1.572258703356259,0.0012406947890818859,0.0,0.005917159763313609
0.8200000000000001,-2.0,-1.671216385240772,0.0,0.0,0.0
0.8400000000000001,-2.0,-1.724598707525534,0.0,0.0,0.0
0.86,-2.0,-1.7965082343131105,0.0,0.0,0.0
0.88,-2.0,-1.8585417969564295,0.0,0.0,0.0
0.9,-2.0,-1.900302272253491,0.0,0.0,0.0
0.92,-2.0,-1.9354857202418163,0.0,0.0,0.0
0.9400000000000001,-2.0,-1.9675526370648317,0.0,0.0,0.0
0.9600000000000001,-2.0,-1.9840942255576395,0.0,0.0,0.0
