Feature_Set,Classifier,Val_AUROC,Val_AUPRC,Test_AUROC,Test_AUPRC,Base_Rate_AUPRC
Time-Zero Only,Logistic Regression,0.6726733576642336,0.9008271465950697,0.5305956084719398,0.7886194448080213,0.771106941838649
Time-Zero Only,Gradient Boosted Trees,0.989963503649635,0.9975965733012738,0.5559859997606797,0.8055444763654072,0.771106941838649
Early Trajectory,Logistic Regression,0.9915602189781022,0.9980076747721155,0.9340871923736589,0.9610822003227006,0.771106941838649
Early Trajectory,Gradient Boosted Trees,1.0,1.0,0.9353361453472139,0.962379194646648,0.771106941838649
