iteration,GROUND_TRUTH_ORACLE_CEILING,HINDSIGHT_GRID_SCORE_POLICY_CEILING,PATIENT_ADAPTIVE_THRESHOLD_CEILING,FROZEN_MODEL_UTILITY,REALISTIC_ACHIEVABLE_UTILITY
1,0.8349867724867724,-0.41915233686067016,0.7868882275132276,-0.2787698412698413,-0.41915233686067016
2,0.8364435864435864,-0.361470398970399,0.7847597597597598,-0.28053946803946805,-0.361470398970399
3,0.8263214670981661,-0.44450377562028043,0.7803128371089536,-0.2843959007551241,-0.44450377562028043
4,0.8246980133772586,-0.3892083458121194,0.7772886093640811,-0.28375761205949884,-0.3892083458121194
5,0.8163908589440505,-0.3758696386355961,0.7724980299448384,-0.24066756726331195,-0.3758696386355961
6,0.830078125,-0.38550889756944445,0.7736111111111111,-0.24002278645833336,-0.38550889756944445
7,0.8361137341307312,-0.36078061063896755,0.7911079634875668,-0.24299653761410134,-0.36078061063896755
8,0.8395406579764121,-0.39576350093109863,0.7906062487068073,-0.2528088144009932,-0.39576350093109863
9,0.8290129104401748,-0.37467723899562877,0.7872928738436514,-0.24665548439564908,-0.37467723899562877
10,0.8120243531202436,-0.3540987171124157,0.7695205479452054,-0.24894542291802566,-0.3540987171124157
11,0.8078383092233508,-0.3752334051503026,0.7558787319175131,-0.2372935262131938,-0.3752334051503026
12,0.8283317199096483,-0.3394213187049586,0.7793374206733354,-0.21834462729912874,-0.3394213187049586
13,0.8428290766208252,-0.4305937568216546,0.788004802444881,-0.2976970093865968,-0.4305937568216546
14,0.823268921095008,-0.4190418679549114,0.7643115942028985,-0.2544585346215781,-0.4190418679549114
15,0.8332790268274138,-0.40311176278918215,0.786852394916911,-0.300276963180189,-0.40311176278918215
16,0.8293650793650793,-0.3678780284043442,0.7737677527151211,-0.2857142857142857,-0.3678780284043442
17,0.8466019417475728,-0.38710355987055006,0.7953667745415318,-0.2551186623516721,-0.38710355987055006
18,0.8148848943550929,-0.3897771470619153,0.7702196993587722,-0.2790760012614317,-0.3897771470619153
19,0.8238851095993952,-0.443850556095454,0.7753590325018896,-0.27799373717741066,-0.443850556095454
20,0.8266008839551854,-0.3669493267550622,0.7829221913865761,-0.24511255010792474,-0.3669493267550622
21,0.814143245693563,-0.38517679057116955,0.7699808602800442,-0.23528256270776668,-0.38517679057116955
22,0.8224328593996841,-0.4210005265929437,0.7766771985255397,-0.27246972090573984,-0.4210005265929437
23,0.8100881191127317,-0.38148485769269724,0.7655271953813431,-0.2744910361592221,-0.38148485769269724
24,0.816794674859191,-0.34918586789554534,0.7678955453149002,-0.2482488479262673,-0.34918586789554534
25,0.822771440642163,-0.3947877059569075,0.7784167722855935,-0.2273764258555133,-0.3947877059569075
26,0.8376980278047204,-0.39743506843409854,0.7886733484211661,-0.2529044078025649,-0.39743506843409854
27,0.8240654447550999,-0.3643885264574919,0.7783576680128403,-0.2691726208967588,-0.3643885264574919
28,0.8251711427066878,-0.36716166403370193,0.7623222748815166,-0.23526592943654556,-0.36716166403370193
29,0.8300841589432194,-0.40871417918397784,0.7720890593373815,-0.291877064024715,-0.40871417918397784
30,0.8412848867825172,-0.45773038441284886,0.7936334913112164,-0.305028962611901,-0.45773038441284886
31,0.8293230670516523,-0.4102235055074323,0.776831354935301,-0.2562399743342958,-0.4102235055074323
32,0.8212470173254488,-0.37891378773731715,0.7812532420375558,-0.25955493308434485,-0.37891378773731715
33,0.8190869611269992,-0.40267450481940475,0.7693305793877766,-0.2960173710412033,-0.40267450481940475
34,0.8360071301247772,-0.3470241632006338,0.7848237274707863,-0.24514755397108337,-0.3470241632006338
35,0.8277670734318132,-0.3574930421751231,0.7780560907728539,-0.24710447441661312,-0.3574930421751231
36,0.8374429223744292,-0.38916793505834596,0.794074074074074,-0.25110096397767634,-0.38916793505834596
37,0.8196196196196197,-0.3655005005005005,0.7761411411411411,-0.26413913913913917,-0.3655005005005005
38,0.8284223449969305,-0.38257110701862085,0.7852516881522406,-0.24427051360753022,-0.38257110701862085
39,0.8237583205325141,-0.324905273937532,0.7765130568356374,-0.21100358422939067,-0.324905273937532
40,0.8260432378079435,-0.3011161387631976,0.7746254399195576,-0.21096530920060333,-0.3011161387631976
41,0.822310405643739,-0.3984733245149912,0.7668375220458553,-0.2731701940035273,-0.3984733245149912
42,0.8133713561470215,-0.35502746092099696,0.7691170257710181,-0.20584072665821712,-0.35502746092099696
43,0.8213015275162168,-0.34053149194392135,0.7767419962335216,-0.22731219920485457,-0.34053149194392135
44,0.8245158498323054,-0.3423888347938981,0.7739424429297846,-0.24810126582278483,-0.3423888347938981
45,0.8221002338111213,-0.3722527193249974,0.7734675205855444,-0.24812951102978548,-0.3722527193249974
