horizon_hours,optimal_lead_hours,false_alarm_penalty,oracle_utility
6,3,-0.05,0.8830519074421512
6,3,-0.02,0.8830519074421512
6,3,-0.01,0.8830519074421512
6,3,0.0,0.8830519074421512
6,6,-0.05,0.13299979153637667
6,6,-0.02,0.13299979153637667
6,6,-0.01,0.13299979153637667
6,6,0.0,0.13299979153637667
6,9,-0.05,0.09549718574108933
6,9,-0.02,0.11587242026266485
6,9,-0.01,0.1226641651031884
6,9,0.0,0.12945590994371484
6,12,-0.05,0.09731081926204027
6,12,-0.02,0.11768605378361595
6,12,-0.01,0.12447779862413934
6,12,0.0,0.13126954346466552
12,3,-0.05,0.8830519074421512
12,3,-0.02,0.8830519074421512
12,3,-0.01,0.8830519074421512
12,3,0.0,0.8830519074421512
12,6,-0.05,0.826245570148012
12,6,-0.02,0.826245570148012
12,6,-0.01,0.826245570148012
12,6,0.0,0.826245570148012
12,9,-0.05,0.7870544090056284
12,9,-0.02,0.7870544090056284
12,9,-0.01,0.7870544090056284
12,9,0.0,0.7870544090056284
12,12,-0.05,0.13126954346466552
12,12,-0.02,0.13126954346466552
12,12,-0.01,0.13126954346466552
12,12,0.0,0.13126954346466552
18,3,-0.05,0.8830519074421512
18,3,-0.02,0.8830519074421512
18,3,-0.01,0.8830519074421512
18,3,0.0,0.8830519074421512
18,6,-0.05,0.826245570148012
18,6,-0.02,0.826245570148012
18,6,-0.01,0.826245570148012
18,6,0.0,0.826245570148012
18,9,-0.05,0.7870544090056284
18,9,-0.02,0.7870544090056284
18,9,-0.01,0.7870544090056284
18,9,0.0,0.7870544090056284
18,12,-0.05,0.7569731081926225
18,12,-0.02,0.7569731081926225
18,12,-0.01,0.7569731081926225
18,12,0.0,0.7569731081926225
24,3,-0.05,0.8830519074421512
24,3,-0.02,0.8830519074421512
24,3,-0.01,0.8830519074421512
24,3,0.0,0.8830519074421512
24,6,-0.05,0.826245570148012
24,6,-0.02,0.826245570148012
24,6,-0.01,0.826245570148012
24,6,0.0,0.826245570148012
24,9,-0.05,0.7870544090056284
24,9,-0.02,0.7870544090056284
24,9,-0.01,0.7870544090056284
24,9,0.0,0.7870544090056284
24,12,-0.05,0.7569731081926225
24,12,-0.02,0.7569731081926225
24,12,-0.01,0.7569731081926225
24,12,0.0,0.7569731081926225
