Group,Mean,Std,p50,Metric,Value
BIDMC_Septic,0.6195337772369385,0.3348250687122345,0.787909209728241,,
BIDMC_NonSeptic,0.046327803283929825,0.1265120804309845,0.0013137273490428925,,
,,,,OverlapCoefficient,0.22975383351084303
