Group,Count,Mean,Std,Min,Max,p010,p050,p100,p250,p500,p750,p900,p950,p990,p999
Emory_Val_Septic,1611,0.6900361180305481,0.31032174825668335,0.0011054192436859012,0.9760885238647461,0.01290260162204504,0.06401725113391876,0.14963564276695251,0.4494016468524933,0.8484522700309753,0.9454735517501831,0.9617224931716919,0.9666160941123962,0.9724301695823669,0.9749733209609985
Emory_Val_NonSeptic,77144,0.03902971372008324,0.11283629387617111,0.00013328585191629827,0.9673088788986206,0.00014145874592941254,0.00014959427062422037,0.0001582667464390397,0.00019813206745311618,0.0004872577264904976,0.011591391637921333,0.1102583035826683,0.23940251767635345,0.6457106471061707,0.9185300469398499
BIDMC_Test_Septic,10027,0.6195337772369385,0.3348250687122345,0.0012989157112315297,0.9786477088928223,0.014994623139500618,0.05585824325680733,0.0982741042971611,0.26019197702407837,0.787909209728241,0.9130748510360718,0.9443987607955933,0.9551162123680115,0.9658099412918091,0.9714198112487793
BIDMC_Test_NonSeptic,743900,0.046327803283929825,0.1265120804309845,0.00013654537906404585,0.9740259051322937,0.00015239175991155207,0.00016572527238167822,0.00018239160999655724,0.00028698312235064805,0.0013137273490428925,0.02649306133389473,0.12305567413568497,0.23893943428993225,0.7561110258102417,0.9322720170021057
