Metric,Emory_Val,BIDMC_Test
Mean_Probability,0.0523466020822525,0.05395127087831497
Std_Probability,0.1514381617307663,0.14695285260677338
Patient_Max_P_Mean,0.21717575192451477,0.18608984351158142
Fraction_ge_0.05,0.17659831121833536,0.2037863082234752
Fraction_ge_0.10,0.1239794298774681,0.13091055234790636
Fraction_ge_0.18,0.08412164307028125,0.07766932342255947
Fraction_ge_0.20,0.07754428290267285,0.07028531940094995
