Dataset,AUROC,AUPRC,ECE,Brier
Emory Validation,0.9756154910310499,0.676735531784534,0.031890752858423584,0.017898978665471077
BIDMC Test,0.961663234029513,0.42306158603253274,0.04065157302029036,0.021326355636119843
