horizon_hours,optimal_lead_hours,false_alarm_penalty,oracle_utility
6,3,-0.05,0.8830519074421512
6,3,-0.02,0.8830519074421512
6,3,-0.01,0.8830519074421512
6,3,0.0,0.8830519074421512
6,6,-0.05,0.8262455701480093
6,6,-0.02,0.8262455701480093
6,6,-0.01,0.8262455701480093
6,6,0.0,0.8262455701480093
6,9,-0.05,0.7870544090056285
6,9,-0.02,0.7870544090056285
6,9,-0.01,0.7870544090056285
6,9,0.0,0.7870544090056285
6,12,-0.05,0.7569731081926204
6,12,-0.02,0.7569731081926204
6,12,-0.01,0.7569731081926204
6,12,0.0,0.7569731081926204
12,3,-0.05,0.8830519074421512
12,3,-0.02,0.8830519074421512
12,3,-0.01,0.8830519074421512
12,3,0.0,0.8830519074421512
12,6,-0.05,0.8262455701480093
12,6,-0.02,0.8262455701480093
12,6,-0.01,0.8262455701480093
12,6,0.0,0.8262455701480093
12,9,-0.05,0.7870544090056285
12,9,-0.02,0.7870544090056285
12,9,-0.01,0.7870544090056285
12,9,0.0,0.7870544090056285
12,12,-0.05,0.7569731081926204
12,12,-0.02,0.7569731081926204
12,12,-0.01,0.7569731081926204
12,12,0.0,0.7569731081926204
18,3,-0.05,0.8830519074421512
18,3,-0.02,0.8830519074421512
18,3,-0.01,0.8830519074421512
18,3,0.0,0.8830519074421512
18,6,-0.05,0.8262455701480093
18,6,-0.02,0.8262455701480093
18,6,-0.01,0.8262455701480093
18,6,0.0,0.8262455701480093
18,9,-0.05,0.7870544090056285
18,9,-0.02,0.7870544090056285
18,9,-0.01,0.7870544090056285
18,9,0.0,0.7870544090056285
18,12,-0.05,0.7569731081926204
18,12,-0.02,0.7569731081926204
18,12,-0.01,0.7569731081926204
18,12,0.0,0.7569731081926204
24,3,-0.05,0.8830519074421512
24,3,-0.02,0.8830519074421512
24,3,-0.01,0.8830519074421512
24,3,0.0,0.8830519074421512
24,6,-0.05,0.8262455701480093
24,6,-0.02,0.8262455701480093
24,6,-0.01,0.8262455701480093
24,6,0.0,0.8262455701480093
24,9,-0.05,0.7870544090056285
24,9,-0.02,0.7870544090056285
24,9,-0.01,0.7870544090056285
24,9,0.0,0.7870544090056285
24,12,-0.05,0.7569731081926204
24,12,-0.02,0.7569731081926204
24,12,-0.01,0.7569731081926204
24,12,0.0,0.7569731081926204
