threshold,hourly_auroc,hourly_auprc,hourly_f1,hourly_precision,hourly_recall,patient_detection_rate,n_tp_sepsis_patients,n_fn_sepsis_patients,sum_tp_reward,sum_fn_penalty,total_fp_hours_non_sepsis,sum_fp_penalty_non_sepsis,total_fp_hours_sepsis,sum_fp_penalty_sepsis,total_achieved_utility,total_best_utility,normalized_utility,non_sepsis_fpr_h,all_hours_alarm_rate,mean_lead_h,pct_early_6h,pct_early_1h
0.44,0.961663234029513,0.42306158603253274,0.36521597480520185,0.25091397448332464,0.6707888700508626,0.7035647279549718,750,316,233.5555555555565,-632.0,14771,-738.5499999999998,1651,-82.54999999999995,-1219.5444444444468,1066.0,-1.1440379403794059,0.020977332664906603,0.03555516648163549,7.672,43.2,60.53333333333333
0.6,0.961663234029513,0.42306158603253274,0.4110159529806885,0.30985416244683006,0.6102523187394037,0.6604127579737336,704,362,242.8888888888899,-724.0,9816,-490.7999999999999,891,-44.550000000000004,-1016.4611111111077,1066.0,-0.9535282468209265,0.013940389779887836,0.02619351740951047,5.707386363636363,37.64204545454545,56.53409090909091
0.78,0.961663234029513,0.42306158603253274,0.47096356574810433,0.4390138781139557,0.5079285927994415,0.575046904315197,613,453,222.00000000000063,-906.0,4605,-230.25,255,-12.75,-926.9999999999985,1066.0,-0.8696060037523439,0.006539883347227331,0.015387431409141734,2.9282218597063623,23.65415986949429,45.67699836867863
