Counterfactual_Setting,Model_Utility,GroundTruth_Oracle_Utility,Delta_From_Official
Official Baseline,-2.054591411298728,0.826245570148012,0.0
Reduced FP Penalty (-0.01),-0.4435219929122357,0.826245570148012,1.6110694183864922
Zero FP Penalty (0.00),-0.04075463831561363,0.826245570148012,2.0138367729831144
Reduced FN Penalty (-0.5),-1.8336720867208658,0.826245570148012,0.220919324577862
Extended Horizon (24h),-1.9333020637898577,0.7569731081926225,0.1212893475088701
