threshold,auroc,auprc,precision,recall,f1,fpr,utility,n_tp,mean_lead_h,pct_early_6h,pct_early_1h,pct_late
0.05,0.961663234029513,0.42306158603253274,0.06234053631866701,0.9552209035603869,0.11704253148160594,0.19365774969754,-6.200969355847508,1052,11.337452471482889,45.627376425855516,68.25095057034221,7.889733840304182
0.1,0.961663234029513,0.42306158603253274,0.09124897413295237,0.8981749276952229,0.1656671939958059,0.12056862481516332,-3.7847404627892844,1007,9.852035749751737,43.39622641509434,64.64746772591857,10.327706057596822
0.15,0.961663234029513,0.42306158603253274,0.12188070821407511,0.8451181809115389,0.2130376850944013,0.08207151498857373,-2.5735980821346667,957,9.06687565308255,42.42424242424242,62.38244514106584,12.225705329153605
0.2,0.961663234029513,0.42306158603253274,0.15093413851670126,0.7976463548419268,0.2538362664043036,0.060481247479499935,-1.9565561809464236,900,8.915555555555555,42.55555555555556,62.33333333333333,11.11111111111111
0.25,0.961663234029513,0.42306158603253274,0.17636127113919345,0.7571556796649047,0.28608572774375884,0.04766232020432854,-1.6124400667083567,857,8.691948658109684,42.94049008168028,62.19369894982497,11.085180863477246
0.3,0.961663234029513,0.42306158603253274,0.19795661224937,0.7207539642963997,0.31060492102718384,0.039361473316305955,-1.427173233270796,811,8.638717632552405,43.6498150431566,62.5154130702836,9.864364981504316
0.35,0.961663234029513,0.42306158603253274,0.2182032876542059,0.7003091652538147,0.33273313115996966,0.03382040596854416,-1.295121951219512,787,8.235069885641677,43.20203303684879,61.11817026683609,10.038119440914867
0.39999999999999997,0.961663234029513,0.42306158603253274,0.23681396391734796,0.6846514411090057,0.3519069099856469,0.02974055652641484,-1.205232436939756,763,7.950196592398427,43.25032765399738,61.33682830930537,10.091743119266056
0.44999999999999996,0.961663234029513,0.42306158603253274,0.25444596443228457,0.6677969482397527,0.36848911757422337,0.02637451270332034,-1.1252084636230972,749,7.488651535380507,42.72363150867824,60.213618157543394,12.283044058744993
0.49999999999999994,0.961663234029513,0.42306158603253274,0.27203672787979966,0.6500448788271667,0.3835584193956513,0.02344669982524533,-1.053710652491139,738,6.956639566395664,41.46341463414634,59.34959349593496,13.143631436314362
0.5499999999999999,0.961663234029513,0.42306158603253274,0.2906084959816303,0.6310960406901366,0.3979623923023709,0.02076488775373034,-0.9890660829685207,725,6.153103448275862,39.58620689655172,57.37931034482758,14.896551724137929
0.6,0.961663234029513,0.42306158603253274,0.30985416244683006,0.6102523187394037,0.4110159529806885,0.01832101088856029,-0.9535282468209265,704,5.707386363636363,37.64204545454545,56.53409090909091,16.193181818181817
0.65,0.961663234029513,0.42306158603253274,0.33473064068430297,0.5893088660616336,0.4269508670520231,0.015787068154321817,-0.9141911611423781,686,5.091836734693878,34.54810495626822,53.790087463556844,19.387755102040817
0.7,0.961663234029513,0.42306158603253274,0.36698978596057513,0.5625810312157176,0.4442082053705016,0.013079715015459067,-0.8873775276214285,660,4.287878787878788,31.96969696969697,52.121212121212125,21.818181818181817
0.75,0.961663234029513,0.42306158603253274,0.40943367189904584,0.5306671985638776,0.4622334187551579,0.010317246941793251,-0.8603241609339158,634,3.558359621451104,27.602523659305994,48.738170347003155,23.501577287066247
0.7999999999999999,0.961663234029513,0.42306158603253274,0.4608027006751688,0.4900767926598185,0.47498912570682905,0.007729533539454228,-0.8707681884511141,601,2.464226289517471,20.465890183028286,44.42595673876872,30.782029950083196
0.85,0.961663234029513,0.42306158603253274,0.5239260800391629,0.42694724244539745,0.47049126277612924,0.005229197472778599,-0.9387064832186777,551,1.1361161524500907,13.430127041742287,35.027223230490016,40.10889292196007
0.9,0.961663234029513,0.42306158603253274,0.6139059304703477,0.2993916425650743,0.40249379902125093,0.002537975534346014,-1.1029237023139498,466,-1.261802575107296,5.36480686695279,18.025751072961373,66.30901287553648
0.95,0.961663234029513,0.42306158603253274,0.7479253112033195,0.07190585419367707,0.13119825311618596,0.0003266568087108482,-1.6489368355222034,187,-4.481283422459893,0.0,0.53475935828877,98.93048128342245
