threshold,official_utility
0.05,0.5204258398820899
0.1,0.622666076232147
0.15,0.654351260070985
0.19,0.6559441114070632
0.25,0.6406738884739696
0.3,0.6218048790160015
0.31,0.6205315893483853
0.35,0.6119734833213265
0.4,0.6045267380916188
0.5,0.583402951731978
0.6,0.5540363249416727
0.7,0.5173805857198567
