Feature,Emory_Mean,BIDMC_Mean,SMD,KS_Stat,Wasserstein,Composite_Shift_Score
p_slope_6h,0.46713224557170974,0.6688048047092092,-0.0702855794023561,0.011873154634978511,0.23946744148213484,0.3216261755194694
p_max_6h,0.040366308772821866,0.04389514876046727,-0.026472042547827385,0.14192390438681374,0.004290440196643721,0.17268638713128484
p_slope_12h,0.008966338041977466,0.008442137205434547,0.021587008565767264,0.14081430472321493,0.0018510662725144266,0.16425237956149663
p_mean_6h,0.04981207146520524,0.051755530495707976,-0.013301727448672179,0.13948937568128922,0.0049098518039960085,0.1577009549339574
p_curr,0.05234659692218087,0.05395126925049912,-0.010754283357978575,0.1381884522729775,0.005169197094386752,0.15411193272534282
p_min_6h,0.0050690508694403716,0.00439147751375501,0.03271138552448204,0.07734138960893094,0.001318433541454442,0.11137120867486743
p_std_6h,0.00010424979476998558,-8.452659082286965e-06,0.004638765644930392,0.06975081768160563,0.0010135577954954369,0.07540314112203145
p_mean_12h,0.05917317418999852,0.057616232517648705,0.007071343442758695,0.0053710988341083565,0.0025361777750406616,0.014978620051907712
