operating_point,locked_threshold,auroc,auprc,brier,ece,precision,recall,f1,fpr,mean_lead_h,median_lead_h,pct_1h,pct_6h,pct_late,utility,positive_patients,detected_patients,missed_patients,false_positive_hours,total_test_hours
Thresh_0.05,0.05,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.06234053631866701,0.9552209035603869,0.11704253148160594,0.19365774969754,11.337452471482889,4.0,68.25095057034221,45.627376425855516,7.889733840304182,-6.200969355847508,1066,1052,14,144062,753927
Thresh_0.10,0.1,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.09124897413295237,0.8981749276952229,0.1656671939958059,0.12056862481516332,9.852035749751737,3.0,64.64746772591857,43.39622641509434,10.327706057596822,-3.7847404627892844,1066,1007,59,89691,753927
Thresh_0.15,0.15,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.12188070821407511,0.8451181809115389,0.2130376850944013,0.08207151498857373,9.06687565308255,3.0,62.38244514106584,42.42424242424242,12.225705329153605,-2.5735980821346667,1066,957,109,61053,753927
Thresh_0.20,0.2,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.15093413851670126,0.7976463548419268,0.2538362664043036,0.060481247479499935,8.915555555555555,3.0,62.33333333333333,42.55555555555556,11.11111111111111,-1.9565561809464236,1066,900,166,44992,753927
Thresh_0.25,0.25,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.17636127113919345,0.7571556796649047,0.28608572774375884,0.04766232020432854,8.691948658109684,3.0,62.19369894982497,42.94049008168028,11.085180863477246,-1.6124400667083567,1066,857,209,35456,753927
Thresh_0.30,0.3,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.19795661224937,0.7207539642963997,0.31060492102718384,0.039361473316305955,8.638717632552405,3.0,62.5154130702836,43.6498150431566,9.864364981504316,-1.427173233270796,1066,811,255,29281,753927
Thresh_0.35,0.35,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.2182032876542059,0.7003091652538147,0.33273313115996966,0.03382040596854416,8.235069885641677,3.0,61.11817026683609,43.20203303684879,10.038119440914867,-1.295121951219512,1066,787,279,25159,753927
Thresh_0.40,0.4,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.23681396391734796,0.6846514411090057,0.3519069099856469,0.02974055652641484,7.950196592398427,3.0,61.33682830930537,43.25032765399738,10.091743119266056,-1.205232436939756,1066,763,303,22124,753927
Thresh_0.45,0.45,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.25444596443228457,0.6677969482397527,0.36848911757422337,0.02637451270332034,7.488651535380507,3.0,60.213618157543394,42.72363150867824,12.283044058744993,-1.1252084636230972,1066,749,317,19620,753927
Thresh_0.50,0.5,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.27203672787979966,0.6500448788271667,0.3835584193956513,0.02344669982524533,6.956639566395664,2.0,59.34959349593496,41.46341463414634,13.143631436314362,-1.053710652491139,1066,738,328,17442,753927
Thresh_0.55,0.55,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.2906084959816303,0.6310960406901366,0.3979623923023709,0.02076488775373034,6.153103448275862,2.0,57.37931034482758,39.58620689655172,14.896551724137929,-0.9890660829685207,1066,725,341,15447,753927
Thresh_0.60,0.6,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.30985416244683006,0.6102523187394037,0.4110159529806885,0.01832101088856029,5.707386363636363,2.0,56.53409090909091,37.64204545454545,16.193181818181817,-0.9535282468209265,1066,704,362,13629,753927
Thresh_0.65,0.65,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.33473064068430297,0.5893088660616336,0.4269508670520231,0.015787068154321817,5.091836734693878,1.0,53.790087463556844,34.54810495626822,19.387755102040817,-0.9141911611423781,1066,686,380,11744,753927
Thresh_0.70,0.7,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.36698978596057513,0.5625810312157176,0.4442082053705016,0.013079715015459067,4.287878787878788,1.0,52.121212121212125,31.96969696969697,21.818181818181817,-0.8873775276214285,1066,660,406,9730,753927
Thresh_0.75,0.75,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.40943367189904584,0.5306671985638776,0.4622334187551579,0.010317246941793251,3.558359621451104,0.0,48.738170347003155,27.602523659305994,23.501577287066247,-0.8603241609339158,1066,634,432,7675,753927
Thresh_0.80,0.8,0.961663234029513,0.42306158603253274,0.021326355636119843,0.04065157312607327,0.4608027006751688,0.4900767926598185,0.47498912570682905,0.007729533539454228,2.464226289517471,0.0,44.42595673876872,20.465890183028286,30.782029950083196,-0.8707681884511141,1066,601,465,5750,753927
