metric,mean,ci_lower,ci_upper
AUROC,0.9618584956302016,0.9495057091957471,0.9726838487697309
AUPRC,0.42730364483554345,0.3359071080196792,0.5185196793814935
F1 Score,0.4113296950312607,0.392349411708673,0.4313329509632162
Recall,0.6109838159558124,0.5816426900506209,0.6403429731164044
Precision,0.3101194666365682,0.29271025512007176,0.32819591597079345
Mean Lead Time (h),5.718713224862894,5.003887484578258,6.490710750032781
PhysioNet Utility,-0.9519105620595805,-1.0328018177222171,-0.8648502416542998
